"ForestTypeGroup","AgeGroup","carbon","carbon_se","TYPGRPCD","cumTDEE","cumTDEE_ubSE","cumTDEE_lbSE","joint_c"
"Alder / maple",0,36.24208011,2.873449506,910,11.16919039,16.66388174,5.674499046,25.07288972
"Alder / maple",10,39.89455526,3.593117444,910,12.92654598,18.24559931,7.60749265,26.96800928
"Alder / maple",20,86.5881614,4.960002474,910,14.85510749,18.71769036,10.99252462,71.73305391
"Alder / maple",30,103.1056488,7.137865101,910,19.3329742,23.53831493,15.12763347,83.7726746
"Alder / maple",40,120.5160188,9.933691504,910,24.94854241,29.46173092,20.43535389,95.56747639
"Alder / maple",50,104.2011541,9.237837246,910,18.54477954,23.1711653,13.91839379,85.65637456
"Alder / maple",60,112.7868741,10.86447987,910,21.54383318,26.65048015,16.43718621,91.24304092
"Alder / maple",70,175.3355104,15.85251616,910,35.22383749,41.26082771,29.18684726,140.11167291
"Alder / maple",80,194.6202068,19.45149812,910,29.22734751,35.33393346,23.12076156,165.39285929
"Alder / maple",90,107.9403726,15.57273284,910,37.07237145,45.72182247,28.42292042,70.86800115
"Alder / maple",100,125.7015093,22.38238949,910,27.9046459,38.49195423,17.31733757,97.7968634
"Alder / maple",110,142.3448639,15.33258897,910,17.63825219,30.70468766,4.571816717,124.70661171
"Alder / maple",120,123.7649048,38.13656585,910,35.23626006,47.59538788,22.87713224,88.52864474
"Alder / maple",130,113.8628516,7.94259574,910,60.35252262,74.08587643,46.6191688,53.51032898
"Alder / maple",140,19.39207262,0,910,NA,NA,NA,NA
"Alder / maple",150,147.8393494,3.247671461,910,46.18989398,60.09770067,32.28208729,101.64945542
"Alder / maple",160,192.9115754,2.733053573,910,NA,NA,NA,NA
"Alder / maple",170,233.316656,0,910,62.6809107,78.09030639,47.27151502,170.6357453
"Alder / maple",180,109.4970629,16.04077179,910,51.02839404,70.72480881,31.33197927,58.46866886
"Alder / maple",200,120.1906749,16.53030194,910,57.79925142,72.38178395,43.21671889,62.39142348
"Alder / maple",NA,34.15347365,5.367052315,910,NA,NA,NA,NA
"Aspen / birch",0,26.68282839,0.970177453,900,5.525847514,7.61372397,3.437971059,21.156980876
"Aspen / birch",10,26.20350322,0.801036442,900,17.4851251,19.44791776,15.52233244,8.71837812
"Aspen / birch",20,33.33306551,1.037439222,900,25.35570003,27.69856528,23.01283478,7.97736548
"Aspen / birch",30,42.69395936,1.181944032,900,31.01280149,33.50926601,28.51633696,11.68115787
"Aspen / birch",40,52.01682227,1.919899628,900,35.47679855,38.37041725,32.58317985,16.54002372
"Aspen / birch",50,60.99474093,2.452076185,900,37.04028653,40.31287415,33.76769892,23.9544544
"Aspen / birch",60,62.07894833,2.317481052,900,39.78119924,43.17304337,36.3893551,22.29774909
"Aspen / birch",70,66.88605655,2.045587323,900,43.07301872,46.32008708,39.82595036,23.81303783
"Aspen / birch",80,77.19093238,3.274444141,900,48.14199711,51.74990448,44.53408975,29.04893527
"Aspen / birch",90,77.36713602,2.564738339,900,48.95882051,53.03534387,44.88229715,28.40831551
"Aspen / birch",100,93.70589037,5.061482819,900,51.40372149,56.30211251,46.50533047,42.30216888
"Aspen / birch",110,76.45159327,5.16534993,900,64.36266189,69.87573763,58.84958615,12.08893138
"Aspen / birch",120,100.6905374,8.59087131,900,54.49239451,62.20162212,46.78316691,46.19814289
"Aspen / birch",130,73.8557099,12.8006797,900,55.12061305,66.06262428,44.17860182,18.73509685
"Aspen / birch",140,88.61080145,13.7901949,900,61.40554944,75.28811669,47.52298218,27.20525201
"Aspen / birch",150,70.03724229,15.51813003,900,107.5786641,135.0606849,80.09664336,-37.54142181
"Aspen / birch",160,50.7557732,0.927307469,900,80.8368945,108.2607467,53.41304231,-30.0811213
"Aspen / birch",NA,50.26932406,14.7590728,900,NA,NA,NA,NA
"California mixed conifer",0,48.56979074,4.584120353,370,-17.92875041,-5.331538022,-30.5259628,66.49854115
"California mixed conifer",10,64.3093592,11.78208488,370,-3.993927724,5.841504246,-13.82935969,68.303286924
"California mixed conifer",20,53.09408326,7.755344699,370,5.500095805,15.11161914,-4.11142753,47.593987455
"California mixed conifer",30,63.16120984,7.905995816,370,29.78570572,39.34784552,20.22356593,33.37550412
"California mixed conifer",40,96.55503329,8.746953748,370,32.01297852,39.60454744,24.4214096,64.54205477
"California mixed conifer",50,97.24032204,9.861209273,370,40.22559708,47.88102102,32.57017315,57.01472496
"California mixed conifer",60,120.2041298,8.292607252,370,34.74252033,41.82769626,27.65734441,85.46160947
"California mixed conifer",70,106.1533479,6.383597199,370,39.93301139,46.58837808,33.2776447,66.22033651
"California mixed conifer",80,149.7017894,8.132663458,370,44.58053364,50.59916815,38.56189912,105.12125576
"California mixed conifer",90,152.8698854,10.81465875,370,48.02314369,53.86525363,42.18103376,104.84674171
"California mixed conifer",100,154.8597183,9.918656641,370,52.11747102,57.88601648,46.34892556,102.74224728
"California mixed conifer",110,178.4712505,10.33641191,370,60.66454298,66.47482553,54.85426044,117.80670752
"California mixed conifer",120,164.4075491,14.22409864,370,57.50860867,64.01953708,50.99768027,106.89894043
"California mixed conifer",130,232.2317576,17.42422281,370,69.79554426,76.42261333,63.16847519,162.43621334
"California mixed conifer",140,225.3211301,20.05219451,370,69.35888245,76.63161035,62.08615455,155.96224765
"California mixed conifer",150,246.8125362,29.44549288,370,79.35744637,88.57917319,70.13571956,167.45508983
"California mixed conifer",160,178.4336211,15.07586985,370,76.79710365,84.9765305,68.6176768,101.63651745
"California mixed conifer",170,191.8487722,31.26889992,370,73.81628977,85.97864088,61.65393866,118.03248243
"California mixed conifer",180,184.0692258,28.22280034,370,74.39882245,85.39555731,63.40208759,109.67040335
