"USHEXES_ID","TYPGRPCD"
5038,160
5607,400
5749,500
5749,160
5604,160
5037,140
5037,400
5318,500
5318,160
5177,500
5177,160
5039,160
5039,500
5177,400
5178,140
5318,600
5317,160
5178,160
5039,140
6037,160
6183,160
6183,600
6183,400
6182,400
6184,140
5605,140
6331,160
6330,400
6331,500
6331,140
5606,140
5607,140
5891,500
5891,160
5892,160
5892,500
5750,600
5751,140
5751,160
5749,140
6185,990
6038,160
6038,400
6041,140
6041,500
6041,600
6040,140
6185,140
5319,140
5461,140
5460,140
5604,140
5461,160
5603,500
5603,140
5603,160
5604,400
5319,160
6185,160
6185,500
6186,400
6040,160
6038,140
6038,600
5747,160
5748,500
5038,140
5038,500
5039,600
5319,500
5317,500
5319,600
5179,160
6037,140
6184,500
6184,160
6184,600
6183,500
6330,500
5606,500
5606,160
6332,400
6330,160
6330,600
6182,600
5896,160
5896,600
5750,140
5892,400
5892,140
5893,140
5750,160
5749,600
5893,160
5894,400
5893,700
5893,600
5606,400
5895,140
6039,160
6039,600
6039,140
6040,700
6040,600
6039,500
6185,400
5460,500
5461,400
5461,500
5461,600
5604,500
5603,400
5747,140
6185,600
6187,160
5460,600
5747,600
5603,600
6184,400
6331,600
6331,400
6331,700
6037,500
6036,600
6036,700
6037,400
6332,160
5748,140
5748,600
5748,160
5892,600
5893,400
5893,500
5750,500
5749,400
5891,700
5894,140
5894,500
5895,500
5894,160
6186,160
6186,600
6186,140
6187,140
6187,500
5747,500
5747,400
5038,400
5039,400
5038,600
5177,600
5178,400
5178,600
5179,500
5318,140
5317,400
5178,500
5319,400
5177,140
6037,600
6037,700
6036,160
6182,500
6182,160
6332,500
6038,500
6183,140
6330,140
5606,600
5894,980
6038,700
6039,400
6040,400
6040,500
5460,160
6032,700
6176,160
6029,500
6469,160
5740,160
5739,140
6322,160
6325,160
6325,600
6325,700
6178,500
5887,600
5885,600
5885,160
6325,400
6031,160
6030,160
6177,160
6178,400
6178,160
6473,160
6471,400
6472,160
6472,500
6471,160
6322,500
6470,500
6619,160
6619,400
6620,500
6620,400
5883,160
6028,160
6174,500
6030,400
6175,160
6323,700
6323,600
6323,160
6174,160
5883,500
6175,600
6028,400
6468,400
6469,400
6618,160
6618,400
6468,160
6468,100
5739,500
5739,160
5884,160
6321,160
6470,160
6178,140
6178,700
6325,500
5886,500
6031,140
6032,400
6178,600
6324,160
6177,600
6177,400
6031,500
6177,500
6472,600
6324,500
6473,170
6473,700
6473,500
6470,600
6470,400
6471,500
6620,160
6175,500
6175,400
6322,400
6323,500
6322,600
6174,400
6029,160
6468,500
6469,500
6618,500
6618,600
5740,600
5884,400
5884,140
6321,500
6321,400
6321,600
6324,600
6326,500
6326,160
5886,160
5886,700
6032,170
6032,500
5885,700
6030,600
6471,600
6621,160
6472,400
6473,600
6622,160
6621,500
6621,600
6622,990
6622,400
6622,500
6324,400
6472,700
6469,600
6619,500
6619,700
6620,600
6619,600
6620,700
5883,400
6029,400
6028,500
6029,600
6174,600
6176,500
6030,700
6176,600
6176,700
6176,400
6323,400
6030,500
6320,160
6320,700
6468,700
6617,500
6617,160
6618,700
6468,600
6768,600
5740,400
5884,500
5885,500
5884,600
5740,500
6177,700
6324,700
6326,400
6326,600
6473,400
5741,160
5741,500
5886,600
6032,600
5887,170
5887,160
6474,600
6031,400
6030,140
6031,700
6168,500
6023,700
6023,600
6168,160
6316,600
6023,500
6169,400
6169,160
6169,700
6169,600
6169,500
6316,500
5731,500
5876,500
5876,600
5732,500
5877,500
5733,400
5733,600
5877,600
6022,500
5877,400
6022,700
6021,700
5877,160
5877,700
5876,160
6022,160
6023,160
5589,160
5590,500
5590,400
5733,500
5733,160
5305,500
5304,160
5304,500
5445,500
5446,160
5445,160
5445,400
5446,500
5305,160
5447,160
5447,500
5447,400
5589,500
5448,160
5448,400
5590,700
5734,500
5734,400
5878,500
6467,160
6467,600
6467,500
6318,500
6319,160
6319,100
6466,500
6467,700
6318,160
6616,500
6616,160
6616,400
6767,160
6767,500
6617,600
6767,700
6617,800
6768,500
5878,160
5878,400
6023,400
6024,500
6024,700
6024,600
6024,160
6171,500
6170,500
5444,500
5445,600
5587,500
5588,160
5588,500
5587,600
5588,400
5589,400
5589,600
5732,400
6316,700
6317,500
6465,500
6465,160
6765,500
6615,500
6614,500
6766,500
6466,400
6616,700
6466,160
6766,700
6766,160
6766,400
6767,600
6615,160
6615,700
6765,160
6765,700
6765,400
6170,400
6170,160
6170,700
6171,160
6318,400
6317,400
6317,600
6317,700
6317,160
6318,600
5590,160
5445,700
5734,160
5878,700
5732,160
5588,600
6022,600
6168,700
5876,700
5591,500
6467,400
6616,170
5879,160
6475,160
5745,500
6180,500
6180,160
6328,160
6476,500
6329,400
6476,160
6329,140
6329,600
6329,160
5890,160
6035,400
6181,160
6035,160
6035,500
6326,170
6474,170
6474,700
5602,160
5459,160
5601,160
5602,600
6033,160
6033,400
6034,400
6034,500
6327,600
6181,500
6179,160
5600,170
5600,160
5600,500
5744,160
5743,500
5600,400
5743,160
5888,600
5888,160
5889,160
5744,400
5744,500
5887,500
6034,160
5600,600
5745,160
5602,500
5745,400
5746,400
5745,140
5746,500
5746,160
5890,140
5891,600
6476,400
5459,500
5459,400
5601,400
5602,400
6033,500
6179,400
6179,600
6179,170
5743,600
5888,500
6180,400
5601,500
5890,400
5891,400
6328,400
6328,500
6327,160
6329,500
6477,160
6477,600
6477,500
6035,600
6327,700
6327,500
6326,700
6474,500
6474,160
5600,700
5889,500
5744,170
5743,400
5889,400
5889,600
5888,700
5888,400
6181,600
6179,500
6180,600
6034,600
5601,600
5745,700
5745,600
5746,140
5890,500
5890,600
5889,140
5746,600
5890,700
6327,400
6181,700
6181,400
6329,700
6328,600
6330,170
6478,160
6478,500
6035,990
6036,400
6036,500
6182,700
6178,990
6475,600
6475,700
6475,500
6623,700
6623,600
6476,600
6475,400
5460,400
5459,600
6179,700
6180,700
6181,960
6033,600
5596,160
5035,500
4758,160
4758,500
4622,140
4625,400
5036,160
4620,140
5037,160
5456,600
4894,160
5315,160
5033,140
5173,140
5173,700
5455,400
5455,160
5597,160
5742,500
4759,400
4759,500
4899,500
4898,500
4898,600
5032,500
5032,140
5031,160
5170,160
5172,600
4756,160
4893,500
4893,160
5032,160
4756,500
5031,140
5031,500
5315,400
5456,500
5456,160
5599,160
4895,500
4895,160
5033,600
5175,400
5176,140
5316,160
5175,500
5033,400
5033,500
5033,160
5173,990
5454,160
5454,500
5598,160
5597,600
5455,500
4761,500
4898,700
4624,160
4624,400
4761,140
5598,500
5742,160
5742,700
4622,160
4621,400
5172,400
5313,160
4758,140
4759,700
4896,160
4760,600
4760,160
4896,500
4897,400
4897,140
4895,400
5316,500
5458,500
5457,400
5457,160
5458,160
5174,160
5173,160
5314,700
5314,500
4892,160
4892,500
4891,160
4762,500
4762,140
4762,600
4900,600
4625,500
4900,500
5030,400
5030,160
5454,400
4488,600
4488,400
4623,160
5740,700
5596,500
4623,500
4624,500
4489,500
4490,400
4625,160
4625,140
5036,400
5175,600
5036,500
5035,160
5035,400
4620,600
4620,160
4620,500
4757,400
4757,160
4757,500
4621,160
4756,600
4757,600
4757,140
4898,160
4899,160
5037,500
5030,600
5171,400
5171,160
5170,500
5172,500
5311,500
4755,400
4755,160
4755,500
4756,400
4894,400
4894,500
5171,500
5315,600
5598,700
5456,700
5457,500
5032,600
5176,500
5176,600
5175,160
5176,400
5176,160
5032,400
5455,140
5455,700
5598,140
4760,400
4760,500
4898,140
4761,600
4898,400
5741,400
5599,600
5599,500
5599,400
5742,990
5742,600
5887,400
5887,140
4622,500
5030,170
5596,400
5595,500
4488,500
4488,160
4897,500
5596,700
5597,500
5595,160
5739,400
4488,700
4624,600
4623,400
4489,160
4625,700
4490,140
5175,140
4620,400
4621,500
5312,160
4759,160
4759,600
4621,600
4897,160
5312,500
5313,500
4895,140
4895,600
5174,500
5034,160
5034,500
5458,400
5313,700
5173,500
5314,990
5174,400
5317,600
4900,140
4762,400
4900,400
5030,500
5031,400
5170,400
5597,400
5739,600
4623,700
4623,600
4355,400
4490,600
4490,500
4490,160
4625,600
4761,400
5036,140
5035,600
5036,600
4756,990
5037,600
4899,600
4899,400
4893,400
5887,700
5172,160
4758,600
4758,400
4896,140
4896,600
4897,600
5313,400
5312,600
5312,400
5173,400
4895,700
5034,600
5316,700
5316,600
5316,400
5458,600
5459,990
5174,600
5314,600
5313,990
5313,600
5314,160
5315,500
5315,700
4892,600
4762,160
4762,990
5034,400
5034,700
4626,140
4900,160
4626,160
4626,600
5031,600
4488,140
5172,990
4894,140
4893,600
4894,700
5032,170
5171,140
5311,600
5311,160
5170,700
5456,400
5456,990
5457,700
5457,600
5599,700
4894,600
5173,600
5455,600
5598,600
4760,140
4761,160
5598,400
5741,600
5306,400
5881,400
5310,160
5452,500
6173,600
5879,500
6025,160
5735,160
5736,500
5307,500
5306,160
5306,500
5448,500
6025,500
6172,160
6172,500
6319,500
5735,500
5880,160
5306,140
5306,700
4891,400
5029,500
5029,160
5029,400
5168,160
5169,160
5592,500
5309,160
5310,500
5881,160
5882,160
5882,960
5882,700
5737,160
5882,990
5882,500
6027,160
5594,160
5738,160
5594,140
5167,500
5309,500
5452,160
5451,400
5311,400
6026,500
6173,160
6173,400
5880,400
5307,160
5448,700
5449,160
5591,160
5591,700
5449,500
5449,400
5594,400
5594,500
5738,500
5028,500
5028,160
5168,700
5308,400
5450,500
5451,500
5451,700
5450,400
5450,160
5453,400
5453,160
5453,500
5307,400
5166,160
5166,500
5447,700
5592,400
5593,160
5169,500
5310,400
5737,400
5882,400
5737,500
5592,160
5591,400
5594,700
5738,140
6027,500
6026,160
5880,500
6025,400
6025,600
6320,400
5735,400
5167,160
5167,600
5308,500
6026,400
6172,400
6319,400
6320,600
6320,500
5736,400
5735,600
5736,160
5735,700
5448,600
5308,160
5449,600
5452,400
5595,400
5451,160
5311,140
5453,140
5595,700
5452,140
6027,400
6027,600
6026,700
6173,500
6173,700
6025,700
5168,500
5309,400
5881,500
5451,140
5307,600
5169,400
5592,600
5592,700
5593,500
5593,400
5593,600
5169,600
5736,960
5881,700
5881,960
5166,400
5165,500
5165,600
5165,160
5305,400
5882,600
5882,140
6028,140
5594,600
5738,400
5593,700
5027,500
5167,400
5168,400
5179,600
5179,140
5740,140
5310,140
6171,400
5885,140
5885,400
5309,140
6171,100
8490,600
8491,600
8820,600
8820,500
8653,500
8492,500
8328,600
9149,500
9149,160
9149,600
8984,160
8818,600
8981,500
8981,400
9147,600
8332,700
8333,600
8494,600
8495,500
8334,700
8335,700
8816,600
8654,600
8816,160
8816,500
8169,700
8330,600
8330,700
8170,600
8493,500
8654,500
8490,500
9146,700
8494,700
8493,600
8492,600
8491,500
8491,700
8657,160
8820,400
8657,500
8820,160
8653,700
8655,500
8819,700
8168,700
8168,600
8818,700
8817,600
8817,500
8984,700
8984,400
9149,400
8981,600
8981,160
8333,700
8332,600
8335,160
8169,500
8169,600
8331,600
8331,700
8492,700
8493,160
8654,160
8493,700
8495,600
8329,600
8329,500
9147,500
8655,600
8656,700
8652,500
8652,700
8490,700
8167,500
8820,700
8656,600
8657,400
8657,600
8657,700
8821,160
8652,600
8653,600
8819,600
8655,700
8818,500
8984,600
8328,700
8167,600
8983,160
8983,500
8983,700
8983,400
9148,500
9150,160
8983,600
8981,700
8980,600
8980,160
9150,500
8175,700
8334,600
8496,700
8335,600
8336,160
8980,500
8169,160
8329,700
8816,700
8815,500
8336,600
8817,700
8982,600
10163,500
10163,160
9991,160
9481,500
9819,160
9650,400
9650,500
9650,160
10162,160
10162,500
10162,400
10334,400
10335,500
10335,400
10335,160
10509,400
10509,160
10508,160
10508,400
10508,500
10509,500
10683,160
10683,500
10334,160
9990,700
9651,500
9651,400
9820,500
9821,500
9820,160
9820,400
9992,400
9992,500
9992,160
9991,400
9991,500
10163,600
9821,400
9821,160
9990,400
9990,160
9990,500
10164,160
10164,500
10336,500
10336,160
10336,400
10510,400
10510,500
9989,160
10161,500
10684,160
10684,500
10163,400
10164,400
9649,160
10334,500
10161,160
10161,400
9993,500
10337,400
10510,160
10682,160
9148,600
10164,990
9314,160
9649,600
10507,500
9651,160
9988,700
10333,400
10511,500
10511,160
10682,500
10681,700
10162,700
9147,700
9146,500
9313,400
9314,500
9481,160
9481,400
9148,700
9649,700
9649,500
9819,500
9148,160
9482,400
9482,700
9482,600
10335,600
9818,600
9818,500
9818,700
9989,500
9652,500
9992,700
9988,160
10160,160
10160,500
10333,170
10333,500
10337,160
10681,500
10682,400
10511,400
8982,700
9314,400
9481,600
9819,600
9482,160
10683,700
9990,600
10333,160
10507,160
9988,500
9989,600
10337,960
10506,500
10506,170
10682,700
9148,400
9313,500
9313,160
9313,600
9481,700
9313,700
9480,500
9480,170
9315,160
9315,500
9482,500
9315,600
9483,400
9483,500
9651,600
9652,160
9652,700
9820,960
9820,600
9989,400
10160,170
10160,700
10332,600
10161,170
10334,600
9650,700
10508,170
10508,960
9819,700
8161,700
8322,700
8322,500
8650,600
8814,600
8812,600
8325,600
8487,700
7844,600
8327,600
8328,160
8327,500
8651,600
8163,700
8165,700
8166,600
8325,400
8650,700
8327,160
8328,500
8489,700
8489,500
8489,600
8651,500
8651,700
8164,700
8322,600
8322,400
8484,700
8649,600
8650,500
8813,700
8978,500
8811,500
8811,700
8485,600
8486,500
8486,160
8485,500
8007,700
8004,700
8488,600
8483,600
8814,500
8811,170
8812,700
8323,700
8811,400
8324,600
8485,960
8649,500
8003,500
8163,600
8006,700
8326,500
8488,500
8483,700
8484,600
8646,600
8647,600
8814,700
8813,600
8648,600
8649,700
8812,500
8484,500
8323,500
8485,400
8975,500
8811,600
8486,600
8324,700
8324,500
8323,600
8005,700
8008,700
8163,500
8326,600
8325,700
8325,500
8487,500
8327,700
8651,160
8815,600
8815,700
8326,700
9822,160
9995,500
9151,160
9317,160
9151,500
8660,160
8822,160
10338,400
8988,160
9654,160
9824,160
9825,160
9487,160
9319,160
9823,160
9993,160
9993,400
8497,600
10340,600
8985,160
9996,500
9996,960
9997,160
9484,160
8823,600
8986,160
8497,700
8659,600
8497,160
9824,500
9996,600
9998,160
9994,160
9995,160
10168,400
10168,170
9996,700
9483,160
8986,500
8823,160
9652,400
10166,160
8987,160
9152,160
10165,160
10166,500
10337,500
9485,160
8496,500
8658,160
9827,160
8659,160
9823,500
10166,170
10338,160
10338,500
8988,990
8989,160
9153,600
9153,160
9154,160
9320,160
9487,700
9487,600
9656,160
9655,160
9655,400
9318,160
9486,160
9485,500
9485,600
9653,160
10167,160
10167,600
10512,160
10513,500
10339,500
8985,400
9488,500
9488,160
9657,160
9321,160
9316,160
9150,400
9484,500
9654,600
9654,500
9653,500
9653,400
9653,170
8659,500
8823,500
8821,600
8822,990
10166,600
10512,400
10512,500
8988,500
9154,500
9153,700
9153,500
9320,500
9320,400
8824,500
8824,160
9994,400
9822,500
8821,500
10167,500
10339,160
8985,600
9150,600
9321,600
9316,500
9316,600
10167,700
9315,400
9825,600
9825,500
9997,500
9996,400
9995,600
9994,600
9997,400
10168,500
9996,160
9484,400
8822,500
10165,400
8986,600
8988,600
9152,500
10166,700
10338,600
9152,400
9485,400
8496,160
9656,500
9826,160
8987,400
8987,600
8987,500
9484,600
9653,600
8986,400
9153,400
9151,400
9317,400
9317,500
10165,500
9318,400
9319,600
9319,700
9321,500
9488,400
8989,400
8989,500
9487,400
9320,600
9655,500
9655,600
9656,600
9824,600
9656,400
9824,400
9654,700
9318,500
9319,400
9486,500
9319,500
9486,600
9485,700
9486,400
9487,500
9318,600
9823,400
9994,700
10339,400
9489,160
9489,500
9657,400
9488,600
9657,700
9657,600
9657,500
9489,600
9149,960
9149,700
9316,400
9315,700
8498,600
8659,700
9995,400
9823,700
9994,500
9824,700
9997,600
9998,400
9997,700
9998,500
10169,160
10169,500
9483,600
9652,600
8821,960
8658,500
8821,400
8822,600
8822,400
8658,600
10338,700
10339,600
10339,700
10512,600
10511,960
8824,600
8988,400
9154,400
10165,700
8660,400
8660,500
8659,400
8660,600
8495,700
8496,600
8495,160
8495,400
8658,400
9826,700
9826,400
9825,400
9826,500
9826,600
8823,400
8824,400
9993,960
9653,700
9654,400
9822,400
8985,500
8986,700
9827,700
10167,400
10340,500
8985,700
9151,600
8821,700
9646,500
9647,160
9307,500
10503,500
9813,500
10506,600
10680,160
8646,500
8815,960
9644,500
10328,500
8978,160
8978,400
9987,500
9988,400
10159,500
10156,700
9475,400
9475,500
9474,500
9476,500
9644,400
9643,400
10677,500
9479,500
9480,700
8978,700
8977,500
9988,600
9987,700
10329,400
10502,500
10501,500
10155,500
8977,700
8977,400
9308,500
9142,170
9145,160
9312,400
9308,400
9648,600
9648,500
9817,500
9818,160
9817,700
8974,500
8976,500
8975,600
8975,180
8976,170
9309,500
9477,500
9309,700
9311,170
9311,500
9478,500
9816,500
10679,500
9815,500
9985,500
9985,400
8647,500
8810,500
10855,500
10678,700
10678,500
10504,500
8979,600
9311,400
10157,500
10330,500
10329,160
10331,500
10329,500
10332,500
10332,160
9140,500
9140,400
9307,700
9144,170
9143,500
9310,160
9144,500
10503,700
10330,400
9645,500
9644,700
9813,400
9814,400
9814,500
9813,180
10853,500
10854,500
9648,160
9985,170
10680,500
9984,500
9984,700
10156,500
10329,170
10328,170
8980,400
9145,500
8814,400
9986,500
10157,160
8647,700
8810,170
8979,700
8979,500
8979,400
8980,700
8979,160
9145,170
9815,700
9984,400
9984,170
10506,400
10680,400
10680,170
10505,500
10328,400
10502,400
8813,160
8977,170
8977,600
10159,700
10159,160
10328,180
9142,500
9141,500
9312,500
9308,170
9308,160
9475,180
9818,170
9988,170
9817,400
8976,400
8976,180
8812,400
9141,600
9143,170
9143,400
9310,500
9477,400
9309,160
9478,160
9478,170
9479,160
9647,500
10503,160
10503,400
9475,160
9644,170
9643,500
10676,500
10330,160
10331,700
10332,170
10505,400
10505,160
10505,700
9144,160
9144,400
9311,160
9141,170
9479,400
10502,700
10157,400
9814,170
10852,500
10502,170
9648,400
9647,400
9480,400
9145,400
9143,160
9310,400
9307,170
9307,400
9475,700
10504,400
9480,600
9645,400
9814,700
8974,700
10854,160
8980,170
9646,160
9815,600
9815,400
9815,170
9816,400
9312,700
9146,400
10158,500
10330,170
10330,700
10332,400
10332,700
8975,170
9140,160
9140,700
10331,400
9312,600
9309,180
9141,400
9648,700
9817,160
9817,170
10504,170
9643,700
9818,400
8812,160
8975,400
9142,160
8976,160
9477,160
9476,160
9478,400
9643,170
10677,400
10677,700
10678,400
9986,400
8810,400
8646,170
8809,500
8809,400
8809,170
11029,500
9649,400
10505,170
10680,700
10159,400
10155,170
9142,400
9309,400
9987,160
9987,400
9816,160
9309,170
9645,960
9476,170
10331,160
9476,400
10679,400
9815,160
8168,500
10158,160
10160,400
10679,160
21235,970
20778,970
20932,970
20779,970
21085,970
20933,970
20469,970
21237,970
21086,970
20780,970
21238,970
20470,970
20934,970
20626,970
20935,970
21087,970
20627,970
20782,970
21088,970
21236,970
20625,180
20625,970
20470,180
21084,970
21236,180
20624,970
20626,180
20471,970
21239,970
20472,970
21084,180
20624,180
21086,180
20625,220
21239,180
21239,360
20470,200
21240,970
20472,180
21240,180
20468,180
21237,960
20933,180
21086,700
22830,970
22262,970
22117,180
22117,960
21972,360
21972,180
21826,970
21827,970
21679,180
21680,180
21971,970
21973,970
22973,970
21526,180
21377,180
21527,180
21075,180
21527,220
21378,180
21227,180
21076,180
21528,220
21378,220
21378,970
21528,970
21228,220
21228,180
21228,970
21517,970
21076,220
21520,180
21379,960
21379,180
21379,970
21077,220
21529,180
21368,180
21229,970
21077,180
21229,700
21229,180
21222,180
21078,180
21078,970
21079,180
21367,180
21519,180
21369,180
21219,180
21371,180
21373,180
21077,970
21370,180
21220,180
21221,180
21226,180
21528,180
21517,180
21518,180
21521,180
21372,180
21223,180
21376,180
21218,180
21229,360
21069,180
21217,180
20924,970
21077,260
20925,220
23113,970
21822,180
21962,180
21815,180
21666,180
21961,180
21668,180
22680,180
22681,180
22397,180
22682,180
22255,180
22823,180
22541,180
22822,180
22399,180
22542,180
22538,180
21821,180
21674,180
21665,180
21667,180
22821,180
22109,180
22539,180
22962,180
21813,180
21666,970
21960,180
22106,180
21814,180
21675,180
22395,220
22251,180
22395,970
22395,900
22395,180
22252,180
22396,260
22253,180
22253,220
22254,220
22254,970
22254,180
22397,220
21676,220
21676,260
22393,180
22250,180
22110,180
22683,180
22111,180
21965,180
22255,220
22256,180
